Time,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Label
Mon Sep 24 16:37:38 2018,-0.262,-0.542,-0.967,-7.263,28.13,-8.003,39.037,30.982,-52.012,0
Mon Sep 24 16:37:38 2018,-0.074,-0.514,-0.913,21.309,-10.3,-16.701,37.766,32.265,-52.187,1
Mon Sep 24 16:37:38 2018,-0.041,-0.739,-0.938,-2.403,-72.876,69.58,36.313,31.898,-50.786,1
Mon Sep 24 16:37:38 2018,-0.108,-0.925,-0.729,-6.035,-27.222,13.855,34.679,32.082,-50.961,1
Mon Sep 24 16:37:39 2018,-0.316,-1.173,-0.837,-78.957,25.574,-0.305,34.861,31.165,-48.684,1
Mon Sep 24 16:37:39 2018,-0.263,-0.751,-0.922,7.629,52.406,-18.593,35.587,32.998,-46.583,1
Mon Sep 24 16:37:39 2018,-0.181,-0.265,-0.973,12.886,39.375,-33.653,36.495,34.282,-45.707,1
Mon Sep 24 16:37:39 2018,-0.122,-0.652,-0.949,51.75,-1.64,-19.165,40.853,33.548,-45.357,1
Mon Sep 24 16:37:40 2018,-0.289,-0.246,-0.975,-30.495,131.332,-10.468,40.489,33.915,-46.408,2
Mon Sep 24 16:37:40 2018,-0.108,-1.267,-0.825,43.221,40.001,-49.072,40.671,32.632,-47.634,1
Mon Sep 24 16:37:40 2018,-0.226,-0.31,-0.981,-54.184,-40.71,25.131,42.668,35.015,-47.459,1
Mon Sep 24 16:37:40 2018,-0.219,-0.889,-0.956,-46.555,79.254,3.258,43.031,34.282,-47.459,1
Mon Sep 24 16:37:41 2018,-0.549,-0.633,-0.916,8.781,28.305,-36.583,38.129,33.365,-51.486,2
Mon Sep 24 16:37:41 2018,-0.05,-0.676,-0.959,28.381,-56.343,20.836,41.216,35.015,-47.108,1
Mon Sep 24 16:37:41 2018,-0.125,-0.572,-1.06,14.565,-32.745,28.557,39.582,32.632,-45.882,1
Mon Sep 24 16:37:41 2018,-0.244,-0.426,-0.841,-1.511,114.441,57.106,35.042,34.282,-48.86,1
Mon Sep 24 16:37:42 2018,-0.279,-0.341,-0.906,-15.549,-7.927,-48.622,34.498,36.298,-47.984,1
Mon Sep 24 16:37:42 2018,-0.121,-0.606,-0.909,5.112,-54.817,55.954,39.582,36.298,-46.233,1
Mon Sep 24 16:37:42 2018,-0.276,-0.646,-0.909,-34.538,-59.891,22.148,33.953,37.581,-46.408,1
Mon Sep 24 16:37:42 2018,0.071,-0.714,-1.015,-8.575,-72.807,65.514,38.311,39.048,-43.606,1
Mon Sep 24 16:37:43 2018,-0.16,-0.724,-0.863,29.617,-41.878,13.954,37.584,38.315,-45.707,1
Mon Sep 24 16:37:43 2018,-0.359,-0.585,-1.027,71.983,10.979,11.238,39.218,39.598,-45.882,1
Mon Sep 24 16:37:43 2018,-0.408,-0.552,-0.928,7.721,-59.41,41.077,37.221,41.981,-47.108,1
Mon Sep 24 16:37:43 2018,-0.374,-0.362,-0.888,12.131,0.954,-10.155,39.945,41.798,-46.933,2
Mon Sep 24 16:37:44 2018,-0.425,-0.193,-0.802,69.733,37.064,33.157,34.679,42.714,-49.91,1
Mon Sep 24 16:37:44 2018,-0.627,-0.326,-0.83,19.173,20.599,-65.964,25.601,43.448,-56.215,1
Mon Sep 24 16:37:44 2018,-0.342,-0.786,-1.019,20.34,50.056,-30.724,30.866,44.364,-52.537,1
